type,domain,systemId,name,brandHint,candidates,prefabPath
unknown_family,bait,black_leech,Пиявка,,,
ambiguous_family,bait,bloodworm,Мотыль,,2,
ambiguous_family,bait,boils_cb_ca10,Икра 10,craft_baits,2,
ambiguous_family,bait,boils_cb_ca16,Икра 16,craft_baits,2,
ambiguous_family,bait,boils_cb_ca20,Икра 20,craft_baits,2,
ambiguous_family,bait,boils_cb_ca26,Икра 26,craft_baits,2,
ambiguous_family,bait,boils_cb_fc10,Свежая клюква 10,craft_baits,2,
ambiguous_family,bait,boils_cb_fc16,Свежая клюква 16,craft_baits,2,
ambiguous_family,bait,boils_cb_fc20,Свежая клюква 20,craft_baits,2,
ambiguous_family,bait,boils_cb_fc26,Свежая клюква 26,craft_baits,2,
unknown_family,bait,boils_cb_tf10,ТФ 10,craft_baits,,
unknown_family,bait,boils_cb_tf14,ТФ 14,craft_baits,,
unknown_family,bait,boils_cb_tf18,ТФ 18,craft_baits,,
unknown_family,bait,boils_cb_tf20,ТФ 20,craft_baits,,
unknown_family,bait,boils_cb_tf_pu10,ТФ Pop Ups 10,craft_baits,,
unknown_family,bait,boils_cb_tf_pu14,ТФ Pop Ups 14,craft_baits,,
unknown_family,bait,boils_cb_tf_pu18,ТФ Pop Ups 18,craft_baits,,
unknown_family,bait,boils_cb_tf_pu20,ТФ Pop Ups 20,craft_baits,,
unknown_family,bait,boil_brown,Боил коричневый,,,
unknown_family,bait,boil_green,Боил зеленый,,,
unknown_family,bait,boil_orange,Боил оранжевый,,,
unknown_family,bait,boil_red,Боил красный,,,
unknown_family,bait,boil_rose,Боил розовый,,,
unknown_family,bait,boil_yellow,Боил жёлтый,,,
ambiguous_family,bait,boils_hvz_ami_12,Амино 12,van_zandt,3,
ambiguous_family,bait,boils_hvz_ami_16,Амино 16,van_zandt,3,
ambiguous_family,bait,boils_hvz_ami_22,Амино 22,van_zandt,3,
ambiguous_family,bait,boils_hvz_ami_24,Амино 24,van_zandt,3,
ambiguous_family,bait,boils_hvz_bcur12,Чёрная смородина 12,van_zandt,2,
ambiguous_family,bait,boils_hvz_bcur15,Чёрная смородина 15,van_zandt,2,
ambiguous_family,bait,boils_hvz_bcur20,Чёрная смородина 20,van_zandt,2,
ambiguous_family,bait,boils_hvz_hs12,Клубника 12,van_zandt,2,
ambiguous_family,bait,boils_hvz_hs15,Клубника 15,van_zandt,2,
ambiguous_family,bait,boils_hvz_hs20,Клубника 20,van_zandt,2,
ambiguous_family,bait,boils_hvz_kc15,Королевский краб 15,van_zandt,3,
ambiguous_family,bait,boils_hvz_kc18,Королевский краб 18,van_zandt,3,
ambiguous_family,bait,boils_hvz_kc24,Королевский краб 24,van_zandt,3,
ambiguous_family,bait,boils_hvz_ma15,Нежный анис 15,van_zandt,2,
ambiguous_family,bait,boils_hvz_ma20,Нежный анис 20,van_zandt,2,
ambiguous_family,bait,boils_hvz_mh15,Горный мёд 15,van_zandt,2,
ambiguous_family,bait,boils_hvz_tf15,Тутти-Фрутти 15,van_zandt,2,
ambiguous_family,bait,boils_hvz_tf18,Тутти-Фрутти 18,van_zandt,2,
