catalogStatus,problem,missingData,domain,systemId,name,category,brandHint,assignedFamily,candidateFamilies,reason
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_cb_ca10,Икра 10,sinking_boilies,craft_baits,,Craft Baits / Икра [cb_boilies_caviar] | Craft Baits / Икра [cb_pellets_caviar],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_cb_ca16,Икра 16,sinking_boilies,craft_baits,,Craft Baits / Икра [cb_boilies_caviar] | Craft Baits / Икра [cb_pellets_caviar],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_cb_ca20,Икра 20,sinking_boilies,craft_baits,,Craft Baits / Икра [cb_boilies_caviar] | Craft Baits / Икра [cb_pellets_caviar],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_cb_ca26,Икра 26,sinking_boilies,craft_baits,,Craft Baits / Икра [cb_boilies_caviar] | Craft Baits / Икра [cb_pellets_caviar],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_cb_fc10,Свежая клюква 10,sinking_boilies,craft_baits,,Craft Baits / Свежая клюква [cb_boilies_cranb] | Craft Baits / Свежая клюква [cb_fpel_cranberry],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_cb_fc16,Свежая клюква 16,sinking_boilies,craft_baits,,Craft Baits / Свежая клюква [cb_boilies_cranb] | Craft Baits / Свежая клюква [cb_fpel_cranberry],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_cb_fc20,Свежая клюква 20,sinking_boilies,craft_baits,,Craft Baits / Свежая клюква [cb_boilies_cranb] | Craft Baits / Свежая клюква [cb_fpel_cranberry],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_cb_fc26,Свежая клюква 26,sinking_boilies,craft_baits,,Craft Baits / Свежая клюква [cb_boilies_cranb] | Craft Baits / Свежая клюква [cb_fpel_cranberry],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,семейство не найдено,не назначено семейство,bait,boils_cb_tf10,ТФ 10,sinking_boilies,craft_baits,,,Название и подсказка бренда не совпали ни с одним семейством каталога
добавлено в каталог,семейство не найдено,не назначено семейство,bait,boils_cb_tf14,ТФ 14,sinking_boilies,craft_baits,,,Название и подсказка бренда не совпали ни с одним семейством каталога
добавлено в каталог,семейство не найдено,не назначено семейство,bait,boils_cb_tf18,ТФ 18,sinking_boilies,craft_baits,,,Название и подсказка бренда не совпали ни с одним семейством каталога
добавлено в каталог,семейство не найдено,не назначено семейство,bait,boils_cb_tf20,ТФ 20,sinking_boilies,craft_baits,,,Название и подсказка бренда не совпали ни с одним семейством каталога
добавлено в каталог,семейство не найдено,не назначено семейство,bait,boils_cb_tf_pu10,ТФ Pop Ups 10,pop_up_boilies,craft_baits,,,Название и подсказка бренда не совпали ни с одним семейством каталога
добавлено в каталог,семейство не найдено,не назначено семейство,bait,boils_cb_tf_pu14,ТФ Pop Ups 14,pop_up_boilies,craft_baits,,,Название и подсказка бренда не совпали ни с одним семейством каталога
добавлено в каталог,семейство не найдено,не назначено семейство,bait,boils_cb_tf_pu18,ТФ Pop Ups 18,pop_up_boilies,craft_baits,,,Название и подсказка бренда не совпали ни с одним семейством каталога
добавлено в каталог,семейство не найдено,не назначено семейство,bait,boils_cb_tf_pu20,ТФ Pop Ups 20,pop_up_boilies,craft_baits,,,Название и подсказка бренда не совпали ни с одним семейством каталога
добавлено в каталог,семейство не найдено,не назначено семейство,bait,boil_brown,Боил коричневый,sinking_boilies,,,,Название и подсказка бренда не совпали ни с одним семейством каталога
добавлено в каталог,семейство не найдено,не назначено семейство,bait,boil_green,Боил зеленый,sinking_boilies,,,,Название и подсказка бренда не совпали ни с одним семейством каталога
добавлено в каталог,семейство не найдено,не назначено семейство,bait,boil_orange,Боил оранжевый,sinking_boilies,,,,Название и подсказка бренда не совпали ни с одним семейством каталога
добавлено в каталог,семейство не найдено,не назначено семейство,bait,boil_red,Боил красный,sinking_boilies,,,,Название и подсказка бренда не совпали ни с одним семейством каталога
добавлено в каталог,семейство не найдено,не назначено семейство,bait,boil_rose,Боил розовый,sinking_boilies,,,,Название и подсказка бренда не совпали ни с одним семейством каталога
добавлено в каталог,семейство не найдено,не назначено семейство,bait,boil_yellow,Боил жёлтый,sinking_boilies,,,,Название и подсказка бренда не совпали ни с одним семейством каталога
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_hvz_ami_12,Амино 12,sinking_boilies,van_zandt,,Helen Van Zandt / Амино [hvz_boils_amino] | Helen Van Zandt / Амино [hvz_pel_amino] | Helen Van Zandt / Амино [hvz_fpel_amino],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_hvz_ami_16,Амино 16,sinking_boilies,van_zandt,,Helen Van Zandt / Амино [hvz_boils_amino] | Helen Van Zandt / Амино [hvz_pel_amino] | Helen Van Zandt / Амино [hvz_fpel_amino],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_hvz_ami_22,Амино 22,sinking_boilies,van_zandt,,Helen Van Zandt / Амино [hvz_boils_amino] | Helen Van Zandt / Амино [hvz_pel_amino] | Helen Van Zandt / Амино [hvz_fpel_amino],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_hvz_ami_24,Амино 24,sinking_boilies,van_zandt,,Helen Van Zandt / Амино [hvz_boils_amino] | Helen Van Zandt / Амино [hvz_pel_amino] | Helen Van Zandt / Амино [hvz_fpel_amino],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_hvz_bcur12,Чёрная смородина 12,sinking_boilies,van_zandt,,Helen Van Zandt / Чёрная смородина [hvz_boils_bcur] | Helen Van Zandt / Черная смородина [hvz_fpel_bcurrant],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_hvz_bcur15,Чёрная смородина 15,sinking_boilies,van_zandt,,Helen Van Zandt / Чёрная смородина [hvz_boils_bcur] | Helen Van Zandt / Черная смородина [hvz_fpel_bcurrant],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
