domain,systemId,name,category,categoryConfidence,brandSystemId,brandName,familySystemId,familyName,familyAmbiguous,variantCode,imagePath,prefabPath,sourceBundle
bait,black_leech,Пиявка,worms,high,,,,,false,,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\black_leech.png,assets/gfx/baits/black_leech/black_leech.prefab,baits
bait,bloodworm,Мотыль,larvae,high,,,,,false,,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\bloodworm.png,assets/gfx/baits/bloodworm/bloodworm.prefab,baits
bait,boils_cb_bg10,Базовый зеленый 10,sinking_boilies,high,craft_baits,Craft Baits,cb_boilies_basegreen,Базовый зеленый,false,10,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\boils_cb_bg10.png,assets/gfx/baits/boil/boils_cb/prefabs/boils_cb_bg10.prefab,baits
bait,boils_cb_bg16,Базовый зеленый 16,sinking_boilies,high,craft_baits,Craft Baits,cb_boilies_basegreen,Базовый зеленый,false,16,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\boils_cb_bg16.png,assets/gfx/baits/boil/boils_cb/prefabs/boils_cb_bg16.prefab,baits
bait,boils_cb_bg18,Базовый зеленый 18,sinking_boilies,high,craft_baits,Craft Baits,cb_boilies_basegreen,Базовый зеленый,false,18,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\boils_cb_bg18.png,assets/gfx/baits/boil/boils_cb/prefabs/boils_cb_bg18.prefab,baits
bait,boils_cb_bg20,Базовый зеленый 20,sinking_boilies,high,craft_baits,Craft Baits,cb_boilies_basegreen,Базовый зеленый,false,20,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\boils_cb_bg20.png,assets/gfx/baits/boil/boils_cb/prefabs/boils_cb_bg20.prefab,baits
bait,boils_cb_bg22,Базовый зеленый 22,sinking_boilies,high,craft_baits,Craft Baits,cb_boilies_basegreen,Базовый зеленый,false,22,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\boils_cb_bg22.png,assets/gfx/baits/boil/boils_cb/prefabs/boils_cb_bg22.prefab,baits
bait,boils_cb_bg26,Базовый зеленый 26,sinking_boilies,high,craft_baits,Craft Baits,cb_boilies_basegreen,Базовый зеленый,false,26,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\boils_cb_bg26.png,assets/gfx/baits/boil/boils_cb/prefabs/boils_cb_bg26.prefab,baits
bait,boils_cb_bg_pu10,Базовый зеленый Pop Ups 10,pop_up_boilies,high,craft_baits,Craft Baits,cb_boilies_pp_basegreen,Базовый зеленый Pop Ups,false,10,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\boils_cb_bg_pu10.png,assets/gfx/baits/boil/boils_cb/prefabs/boils_cb_bg_pu10.prefab,baits
bait,boils_cb_bg_pu16,Базовый зеленый Pop Ups 16,pop_up_boilies,high,craft_baits,Craft Baits,cb_boilies_pp_basegreen,Базовый зеленый Pop Ups,false,16,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\boils_cb_bg_pu16.png,assets/gfx/baits/boil/boils_cb/prefabs/boils_cb_bg_pu16.prefab,baits
bait,boils_cb_bg_pu18,Базовый зеленый Pop Ups 18,pop_up_boilies,high,craft_baits,Craft Baits,cb_boilies_pp_basegreen,Базовый зеленый Pop Ups,false,18,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\boils_cb_bg_pu18.png,assets/gfx/baits/boil/boils_cb/prefabs/boils_cb_bg_pu18.prefab,baits
bait,boils_cb_bg_pu20,Базовый зеленый Pop Ups 20,pop_up_boilies,high,craft_baits,Craft Baits,cb_boilies_pp_basegreen,Базовый зеленый Pop Ups,false,20,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\boils_cb_bg_pu20.png,assets/gfx/baits/boil/boils_cb/prefabs/boils_cb_bg_pu20.prefab,baits
bait,boils_cb_bg_pu22,Базовый зеленый Pop Ups 22,pop_up_boilies,high,craft_baits,Craft Baits,cb_boilies_pp_basegreen,Базовый зеленый Pop Ups,false,22,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\boils_cb_bg_pu22.png,assets/gfx/baits/boil/boils_cb/prefabs/boils_cb_bg_pu22.prefab,baits
bait,boils_cb_bg_pu26,Базовый зеленый Pop Ups 26,pop_up_boilies,high,craft_baits,Craft Baits,cb_boilies_pp_basegreen,Базовый зеленый Pop Ups,false,26,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\boils_cb_bg_pu26.png,assets/gfx/baits/boil/boils_cb/prefabs/boils_cb_bg_pu26.prefab,baits
bait,boils_cb_bo10,Базовый оранжевый 10,sinking_boilies,high,craft_baits,Craft Baits,cb_boilies_baseorange,Базовый оранжевый,false,10,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\boils_cb_bo10.png,assets/gfx/baits/boil/boils_cb/prefabs/boils_cb_bo10.prefab,baits
bait,boils_cb_bo16,Базовый оранжевый 16,sinking_boilies,high,craft_baits,Craft Baits,cb_boilies_baseorange,Базовый оранжевый,false,16,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\boils_cb_bo16.png,assets/gfx/baits/boil/boils_cb/prefabs/boils_cb_bo16.prefab,baits
bait,boils_cb_bo18,Базовый оранжевый 18,sinking_boilies,high,craft_baits,Craft Baits,cb_boilies_baseorange,Базовый оранжевый,false,18,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\boils_cb_bo18.png,assets/gfx/baits/boil/boils_cb/prefabs/boils_cb_bo18.prefab,baits
bait,boils_cb_bo20,Базовый оранжевый 20,sinking_boilies,high,craft_baits,Craft Baits,cb_boilies_baseorange,Базовый оранжевый,false,20,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\boils_cb_bo20.png,assets/gfx/baits/boil/boils_cb/prefabs/boils_cb_bo20.prefab,baits
bait,boils_cb_bo22,Базовый оранжевый 22,sinking_boilies,high,craft_baits,Craft Baits,cb_boilies_baseorange,Базовый оранжевый,false,22,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\boils_cb_bo22.png,assets/gfx/baits/boil/boils_cb/prefabs/boils_cb_bo22.prefab,baits
bait,boils_cb_bo26,Базовый оранжевый 26,sinking_boilies,high,craft_baits,Craft Baits,cb_boilies_baseorange,Базовый оранжевый,false,26,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\boils_cb_bo26.png,assets/gfx/baits/boil/boils_cb/prefabs/boils_cb_bo26.prefab,baits
bait,boils_cb_bo_pu10,Базовый оранжевый Pop Ups 10,pop_up_boilies,high,craft_baits,Craft Baits,cb_boilies_pp_baseorange,Базовый оранжевый Pop Ups,false,10,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\boils_cb_bo_pu10.png,assets/gfx/baits/boil/boils_cb/prefabs/boils_cb_bo_pu10.prefab,baits
bait,boils_cb_bo_pu16,Базовый оранжевый Pop Ups 16,pop_up_boilies,high,craft_baits,Craft Baits,cb_boilies_pp_baseorange,Базовый оранжевый Pop Ups,false,16,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\boils_cb_bo_pu16.png,assets/gfx/baits/boil/boils_cb/prefabs/boils_cb_bo_pu16.prefab,baits
bait,boils_cb_bo_pu18,Базовый оранжевый Pop Ups 18,pop_up_boilies,high,craft_baits,Craft Baits,cb_boilies_pp_baseorange,Базовый оранжевый Pop Ups,false,18,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\boils_cb_bo_pu18.png,assets/gfx/baits/boil/boils_cb/prefabs/boils_cb_bo_pu18.prefab,baits
bait,boils_cb_bo_pu20,Базовый оранжевый Pop Ups 20,pop_up_boilies,high,craft_baits,Craft Baits,cb_boilies_pp_baseorange,Базовый оранжевый Pop Ups,false,20,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\boils_cb_bo_pu20.png,assets/gfx/baits/boil/boils_cb/prefabs/boils_cb_bo_pu20.prefab,baits
bait,boils_cb_bo_pu22,Базовый оранжевый Pop Ups 22,pop_up_boilies,high,craft_baits,Craft Baits,cb_boilies_pp_baseorange,Базовый оранжевый Pop Ups,false,22,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\boils_cb_bo_pu22.png,assets/gfx/baits/boil/boils_cb/prefabs/boils_cb_bo_pu22.prefab,baits
