domain,systemId,name,category,brandSystemId,variantCode,imagePath
bait,black_leech,Пиявка,worms,,,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\black_leech.png
bait,bloodworm,Мотыль,larvae,,,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\bloodworm.png
bait,bread,Хлеб,natural,,,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\bread.png
bait,cabbage,Капустный лист,natural,,,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\cabbage.png
bait,caddisfly,Ручейник,larvae,,,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\caddisfly.png
bait,caviar,Икра,natural,,,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\caviar.png
bait,cheese_cube,Сырный кубик,natural,,,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\cheese_cube.png
bait,corn,Зерна кукурузы,natural,,,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\corn.png
bait,crab_meat,Крабовое мясо,crustaceans,,,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\crab_meat.png
bait,crawfish_meat,Раковая шейка,crustaceans,,,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\crawfish_meat.png
bait,cricket,Сверчок,insects,,,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\cricket.png
bait,fb_bf_makrel,Большое филе - Макрель,dead_fish,,,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\fb_bf_makrel.png
bait,fb_bf_saida,Большое филе - Сайда,dead_fish,,,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\fb_bf_saida.png
bait,fb_bf_seld,Большое филе - Сельдь,dead_fish,,,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\fb_bf_seld.png
bait,fb_d_makrel,Мёртвая макрель,dead_fish,,,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\fb_d_makrel.png
bait,fb_d_saida,Мёртвая сайда,dead_fish,,,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\fb_d_saida.png
bait,fb_d_seld,Мёртвая сельдь,dead_fish,,,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\fb_d_seld.png
bait,fb_gf_makrel,Огромное филе - Макрель,dead_fish,,,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\fb_gf_makrel.png
bait,fb_gf_saida,Огромное филе - Сайда,dead_fish,,,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\fb_gf_saida.png
bait,fb_gf_seld,Огромное филе - Сельдь,dead_fish,,,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\fb_gf_seld.png
bait,fb_lf_makrel,Маленькое филе - Макрель,dead_fish,,,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\fb_lf_makrel.png
bait,fb_lf_saida,Маленькое филе - Сайда,dead_fish,,,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\fb_lf_saida.png
bait,fb_lf_seld,Маленькое филе - Сельдь,dead_fish,,,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\fb_lf_seld.png
bait,fb_sf_makrel,Полоска филе - Макрель,dead_fish,,,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\fb_sf_makrel.png
bait,fb_sf_saida,Полоска филе - Сайда,dead_fish,,,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\fb_sf_saida.png
bait,fb_sf_seld,Полоска филе - Сельдь,dead_fish,,,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\fb_sf_seld.png
bait,dorbeetle,Жук навозный,insects,,,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\dorbeetle.png
bait,dough_cottage,Тесто творожное,porridge_dough,,,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\dough_cottage.png
bait,dough_egg,Тесто яичное,porridge_dough,,,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\dough_egg.png
