system_id,name,source
bcr_6010,Rocket Jet SG80,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_6010.glb
bcr_5462,Minister CS ES60,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_5462.glb
bcr_6013,Phantom Super,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_6013.glb
bcr_6009,Rocket Jet SG70,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_6009.glb
bcr_5079,Centauri ZC80,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_5079.glb
bcr_5078,Centauri ZC70,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_5078.glb
bcr_5975,Classic SG70,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_5975.glb
bcr_5366,Monster LD60,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_5366.glb
bcr_5365,Minister NGT LD60,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_5365.glb
bcr_5364,Minister NGT LD50,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_5364.glb
bcr_5460,Minister CS LD60,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_5460.glb
bcr_5458,Minister CS PG60,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_5458.glb
bcr_5459,Minister CS SR60,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_5459.glb
bcr_5456,Minister CS SG60,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_5456.glb
bcr_5362,ZM-3 Spear SG70,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_5362.glb
bcr_5361,ZM Ranger Z70,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_5361.glb
bcr_5360,ZM Ranger Z60,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_5360.glb
bcr_5455,Minister CS 60,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_5455.glb
bcr_5923,Imperial R605,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_5923.glb
bcr_5077,ZM-Steelness ZMS60,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_5077.glb
bcr_5076,ZM-Steelness ZMS50,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_5076.glb
bcr_5452,SAL5000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_5452.glb
bcr_5048,Billionare HV 60R,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_5048.glb
bcr_5072,ZM-4 Z60,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_5072.glb
bcr_5723,ZM-4 Z-60 8-Years,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_5723.glb
bcr_5071,ZM-4 Z50,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_5071.glb
bcr_5007,ZM-4 Z40,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_5007.glb
bcr_5717,ZM-4 Z-40 8-Years,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_5717.glb
bcr_5764,Castmaster  LGR1973,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_5764.glb
bcr_5062,SteelHead 600-R,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_5062.glb
bcr_5011,SteelHead 500-R,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_5011.glb
bcr_5070,Billionare 60R,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_5070.glb
bcr_5008,Billionare 50R,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_5008.glb
bcr_5075,ZM-3 Z60,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_5075.glb
bcr_5074,ZM-3 Z50,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_5074.glb
