name,category,brend,source_url,size,protection,test,test_mod,per,per_mod,speed,speed_mod,frik,frik_mod,meh,meh_mod,lvl,price_ser,price_gold,capacity,capacity_mod,system_id,photo
Rocket Jet SG80,Байткастинговые,Zeiman,https://potryasovgame.ru/page113477646.html,8000,true,"31,5",,"3,9:1","5,1:1","147,5",,"0,56",,"30,8",,28,31989,"155,92",,,bcr_6010,/uploads/reels/bcr_6010.png
Minister CS ES60,Байткастинговые,Zeiman,https://potryasovgame.ru/page113477646.html,6000,false,"11,5",7,"4,7:1",,"143,56",,"0,49",,"26,3",,30,26999,"134,99",,,bcr_5462,/uploads/reels/bcr_5462.png
Phantom Super,Байткастинговые,Zeiman,https://potryasovgame.ru/page113477646.html,2000,false,"3,2",2,"8,1:1","10,1:1","63,7","38,2","0,88","1,14",11,,28,24445,"123,59",,,bcr_6013,/uploads/reels/bcr_6013.png
Rocket Jet SG70,Байткастинговые,Zeiman,https://potryasovgame.ru/page113477646.html,7000,true,18,"15,5","4,1:1","5,1:1",136,,"0,51",,"27,2",,28,23998,"122,42",,,bcr_6009,/uploads/reels/bcr_6009.png
Centauri ZC80,Байткастинговые,Zeiman,https://potryasovgame.ru/page113477646.html,8000,true,35,"29,5","4,7:1",,"125,85",,"0,57",,"23,5","24,3",28,20948,"113,6",,,bcr_5079,/uploads/reels/bcr_5079.png
Centauri ZC70,Байткастинговые,Zeiman,https://potryasovgame.ru/page113477646.html,7000,true,"27,5",23,"4,7:1",,"117,4",,"0,57",,"20,4","21,9",28,15999,"95,99",,,bcr_5078,/uploads/reels/bcr_5078.png
Classic SG70,Байткастинговые,Zeiman,https://potryasovgame.ru/page113477646.html,7000,true,"27,5",,"4,1:1",,"114,77",,"0,5",,"23,5",,27,16594,"98,34",,,bcr_5975,/uploads/reels/bcr_5975.png
Monster LD60,Байткастинговые,Zeiman,https://potryasovgame.ru/page113477646.html,6000,false,11,"9,5","5,1:1",,"90,17",,"0,55",,"20,9","21,9",28,15318,"93,22",,,bcr_5366,/uploads/reels/bcr_5366.png
Minister NGT LD60,Байткастинговые,Zeiman,https://potryasovgame.ru/page113477646.html,6000,false,15,7,"5,1:1",,"97,75",,"0,53",,20,21,28,13425,"85,05",,,bcr_5365,/uploads/reels/bcr_5365.png
Minister NGT LD50,Байткастинговые,Zeiman,https://potryasovgame.ru/page113477646.html,5000,false,10,"3,1","5,3:1",,"92,01",,"0,55",,19,"19,9",28,11499,"75,99",,,bcr_5364,/uploads/reels/bcr_5364.png
Minister CS LD60,Байткастинговые,Zeiman,https://potryasovgame.ru/page113477646.html,6000,false,13,7,"5,1:1",,"116,46",,"0,53",,20,21,28,14999,"91,9",,,bcr_5460,/uploads/reels/bcr_5460.png
Minister CS PG60,Байткастинговые,Zeiman,https://potryasovgame.ru/page113477646.html,6000,false,"15,5",7,"3,8:1",,"116,64",,"0,4","0,45",19,"19,9",27,13999,"87,61",,,bcr_5458,/uploads/reels/bcr_5458.png
Minister CS SR60,Байткастинговые,Zeiman,https://potryasovgame.ru/page113477646.html,6000,false,"15,5",7,"5,1:1",,"103,5",,"0,53",,19,"19,9",27,12800,"82,2",,,bcr_5459,/uploads/reels/bcr_5459.png
Minister CS SG60,Байткастинговые,Zeiman,https://potryasovgame.ru/page113477646.html,6000,false,"15,5",7,"5,1:1",,"110,97",,"0,53",,"18,1",,26,12000,"78,42",,,bcr_5456,/uploads/reels/bcr_5456.png
ZM-3 Spear SG70,Байткастинговые,Zeiman,https://potryasovgame.ru/page113477646.html,7000,true,29,24,"4,1:1",,"97,45",,"0,5",,19,"19,9",27,11433,"75,67",,,bcr_5362,/uploads/reels/bcr_5362.png
ZM Ranger Z70,Байткастинговые,Zeiman,https://potryasovgame.ru/page113477646.html,7000,true,29,"24,5","4,1:1",,"88,19",,"0,5",,"18,1",,25,9977,"68,25",,,bcr_5361,/uploads/reels/bcr_5361.png
ZM Ranger Z60,Байткастинговые,Zeiman,https://potryasovgame.ru/page113477646.html,6000,false,13,11,"5,3:1",,"78,01",,"0,55",,"15,9",,25,6299,"47,17",,,bcr_5360,/uploads/reels/bcr_5360.png
Minister CS 60,Байткастинговые,Zeiman,https://potryasovgame.ru/page113477646.html,6000,false,"15,5",7,"5,1:1",,"99,68",,"0,53","0,6","17,2",18,26,9700,"66,78",,,bcr_5455,/uploads/reels/bcr_5455.png
Imperial R605,Байткастинговые,Beluga,https://potryasovgame.ru/page113477646.html,6000,false,15,,"4,4:1",,"99,41",,"0,42",,"16,5","18,1",28,9117,"62,64",,,bcr_5923,/uploads/reels/bcr_5923.png
ZM-Steelness ZMS60,Байткастинговые,Zeiman,https://potryasovgame.ru/page113477646.html,6000,false,"15,5",7,"5,3:1",,"91,84",,"0,55",,"17,2",18,26,8500,"60,21",,,bcr_5077,/uploads/reels/bcr_5077.png
ZM-Steelness ZMS50,Байткастинговые,Zeiman,https://potryasovgame.ru/page113477646.html,5000,false,"10,5","3,1","6,8:1",,"82,99",,"0,71",,"17,2",18,26,7785,"56,12",,,bcr_5076,/uploads/reels/bcr_5076.png
SAL5000,Байткастинговые,Tama,https://potryasovgame.ru/page113477646.html,5000,false,11,"6,5","5,3:1","6,2:1","104,11","89,41","0,55",,"18,2",,28,7999,"57,36",,,bcr_5452,/uploads/reels/bcr_5452.png
Billionare HV 60R,Байткастинговые,Trident,https://potryasovgame.ru/page113477646.html,6000,false,"18,5",15,"5,1:1",,77,,"0,57",,18,19,26,7510,"54,51",,,bcr_5048,/uploads/reels/bcr_5048.png
ZM-4 Z60,Байткастинговые,Zeiman,https://potryasovgame.ru/page113477646.html,6000,false,"13,5",7,"6,3:1","7,1:1","74,19","63,65","0,66",,15,"15,6",24,5537,"42,33",,,bcr_5072,/uploads/reels/bcr_5072.png
ZM-4 Z-60 8-Years,Байткастинговые,Zeiman,https://potryasovgame.ru/page113477646.html,6000,false,"13,5",7,"6,1:1",,"76,08",,"0,64",,15,"15,6",24,,,,,bcr_5723,/uploads/reels/bcr_5723.png
ZM-4 Z50,Байткастинговые,Zeiman,https://potryasovgame.ru/page113477646.html,5000,false,"10,5","3,1","6,3:1","7,1:1","68,95","63,65","0,66",,15,"15,6",24,4599,"36,12",,,bcr_5071,/uploads/reels/bcr_5071.png
ZM-4 Z40,Байткастинговые,Zeiman,https://potryasovgame.ru/page113477646.html,4000,false,"6,5","1,9","6,3:1","7,1:1","63,34","63,65","0,66",,"12,7",14,24,4097,"32,67",,,bcr_5007,/uploads/reels/bcr_5007.png
ZM-4 Z-40 8-Years,Байткастинговые,Zeiman,https://potryasovgame.ru/page113477646.html,4000,false,"6,5","1,9","7,1:1",,"63,65",,"0,74",,"12,7",14,22,,,,,bcr_5717,/uploads/reels/bcr_5717.png
Castmaster  LGR1973,Байткастинговые,Aquatica,https://potryasovgame.ru/page113477646.html,5000,false,"12,5","11,5","3,2:1","5,7:1","72,94","65,42","0,34","0,62","15,4",,22,4199,"33,38",,,bcr_5764,/uploads/reels/bcr_5764.png
SteelHead 600-R,Байткастинговые,Syberia,https://potryasovgame.ru/page113477646.html,6000,false,"25,5",20,"5,1:1",,53,,"0,56",,16,"16,8",22,4711,"36,88",,,bcr_5062,/uploads/reels/bcr_5062.png
SteelHead 500-R,Байткастинговые,Syberia,https://potryasovgame.ru/page113477646.html,5000,false,"15,5",12,"5,1:1",,"39,75",,"0,56",,"12,5","13,7",22,2358,"19,95",,,bcr_5011,/uploads/reels/bcr_5011.png
Billionare 60R,Байткастинговые,Trident,https://potryasovgame.ru/page113477646.html,6000,false,"17,5","6,5","5,1:1","5,1:1","71,05","56,82","0,57",,"13,6",15,24,3797,"30,56",,,bcr_5070,/uploads/reels/bcr_5070.png
Billionare 50R,Байткастинговые,Trident,https://potryasovgame.ru/page113477646.html,5000,false,12,"3,2","5,1:1","5,1:1","56,86","71,05","0,57",,11,"12,6",22,2299,"19,5",,,bcr_5008,/uploads/reels/bcr_5008.png
ZM-3 Z60,Байткастинговые,Zeiman,https://potryasovgame.ru/page113477646.html,6000,false,17,7,"5,3:1","7,1:1","56,19","63,65","0,55",,"12,7",14,22,3408,"27,78",,,bcr_5075,/uploads/reels/bcr_5075.png
ZM-3 Z50,Байткастинговые,Zeiman,https://potryasovgame.ru/page113477646.html,5000,false,"11,5","3,1","5,3:1","7,1:1","51,97","63,65","0,55",,"12,7",14,22,2989,"24,71",,,bcr_5074,/uploads/reels/bcr_5074.png
ZM-3 Z40,Байткастинговые,Zeiman,https://potryasovgame.ru/page113477646.html,4000,false,"7,5","1,9","5,3:1","7,1:1","49,58","63,65","0,55",,11,"12,6",22,2499,"21,03",,,bcr_5073,/uploads/reels/bcr_5073.png
Minister 2000,Байткастинговые,Zeiman,https://potryasovgame.ru/page113477646.html,2000,false,"5,5","5,5","4,5:1","6,0:1","54,54",,"0,5",,"8,6",,23,2126,"18,15",,,bcr_5389,/uploads/reels/bcr_5389.png
Black Box ZBB60,Байткастинговые,Zeiman,https://potryasovgame.ru/page113477646.html,6000,false,18,"6,5","5,9:1","5,9:1",40,"37,14","0,62","0,69",11,"12,6",20,1570,"13,73",,,bcr_5081,/uploads/reels/bcr_5081.png
Black Box ZBB50,Байткастинговые,Zeiman,https://potryasovgame.ru/page113477646.html,5000,false,"11,5","3,7","5,9:1","5,9:1","37,14","39,87","0,62",,9,,20,1160,"10,34",,,bcr_5080,/uploads/reels/bcr_5080.png
Compact ZC60,Байткастинговые,Zeiman,https://potryasovgame.ru/page113477646.html,6000,false,"23,5","19,5","5,3:1",,"35,08",,"0,56",,9,,18,1124,"10,05",,,bcr_5120,/uploads/reels/bcr_5120.png
Compact ZC50,Байткастинговые,Zeiman,https://potryasovgame.ru/page113477646.html,5000,false,"13,5","11,5","5,3:1",,"33,42",,"0,56",,"8,6",,18,949,"8,56",,,bcr_5082,/uploads/reels/bcr_5082.png
Compact ZC40,Байткастинговые,Zeiman,https://potryasovgame.ru/page113477646.html,4000,false,"9,5",8,"5,3:1",,"30,67",,"0,56",,"8,6",,18,899,"8,13",,,bcr_5119,/uploads/reels/bcr_5119.png
Zodiac 500-R2,Байткастинговые,Syberia,https://potryasovgame.ru/page113477646.html,5000,false,"15,5","2,4","5,1:1","6,2:1","29,25","31,45","0,57","0,78",8,"9,2",18,799,"7,27",,,bcr_5198,/uploads/reels/bcr_5198.png
Spider 400-R2,Байткастинговые,Syberia,https://potryasovgame.ru/page113477646.html,4000,false,13,10,"5,1:1","5,2:1","17,51",,"0,57",,"7,5",9,14,499,"4,63",,,bcr_5197,/uploads/reels/bcr_5197.png
Magellan 400,Байткастинговые,Syberia,https://potryasovgame.ru/page113477646.html,4000,false,14,11,"5,2:1","5,1:1","13,84",,"0,59",,"6,3",7,10,399,"3,73",,,bcr_5034,/uploads/reels/bcr_5034.png
Winner Round II,Байткастинговые,EF,https://potryasovgame.ru/page113477646.html,5000,false,17,13,"5,1:1",,"10,2",,"0,57",,"5,5","6,9",5,249,"2,36",,,bcr_5196,/uploads/reels/bcr_5196.png
Furia 30000,Безинерционные,Beluga,https://potryasovgame.ru/page110667406.html,30000,true,40,,"4,6:1",,"1,72",,"38,6",,"132,79",,32,66989,"236,5",,,spin_5691,/uploads/reels/spin_5691.png
Turion SW 30000,Безинерционные,Reef,https://potryasovgame.ru/page110667406.html,30000,true,40,,"4,4:1",,"1,56",,"36,3",,"127,94",,32,56799,"216,28",,,spin_5274,/uploads/reels/spin_5274.png
Venga II 30000,Безинерционные,Beluga,https://potryasovgame.ru/page110667406.html,30000,true,40,,"5,1:1",,"1,83",,"34,9",,"144,12",,32,48500,"198,12",,,spin_6046,/uploads/reels/spin_6046.png
Venga II 30000 Super 9,Безинерционные,Beluga,https://potryasovgame.ru/page110667406.html,30000,true,40,,"5,1:1",,"1,83",,"36,7",,"144,12",,32,,"198,12",,,spin_7002,/uploads/reels/spin_7002.png
Venga II 30000 First Edition,Безинерционные,Beluga,https://potryasovgame.ru/page110667406.html,30000,true,40,,"4,8:1",,"1,72",,"34,9",,"158,06",,32,,"198,9",,,spin_6047,/uploads/reels/spin_6047.png
Goliaf 30000,Безинерционные,SAT,https://potryasovgame.ru/page110667406.html,30000,true,40,,"5,8:1",,"1,98",,"33,6",,"120,56",,32,39799,"177,02",,,spin_5326,/uploads/reels/spin_5326.png
Furia 20000,Безинерционные,Beluga,https://potryasovgame.ru/page110667406.html,20000,true,30,,"4,9:1",,"1,51",,"36,7",,"128,53",,32,51499,"204,88",,,spin_5690,/uploads/reels/spin_5690.png
Turion SW 20000,Безинерционные,Reef,https://potryasovgame.ru/page110667406.html,20000,true,30,,"4,4:1",,"1,3",,"35,4",,"120,19",,32,49799,"201,08",,,spin_5273,/uploads/reels/spin_5273.png
