name,category,brend,type,power,test_down,test_up,length,sensi,rig,stroy,bonus_opit,bonus_snast,bonus_nav,bonus_zabros,stren,lvl,price_ser,price_gold,system_id,photo,source_url
Ultima S-M100HH,Спиннинговые,Ultima,Спиннинг,XH,15,70,3,8,10,Средний,,Искуств. +2-3,10%,,142,32,24861,,spin_10158_M100HH,/uploads/rods/spin_10158_M100HH.png,https://potryasovgame.ru/page110667676.html
Ultima S-M88HH,Спиннинговые,Ultima,Спиннинг,XH,12,50,"2,7",8,9,Средний,,Искуств. +2-3,10%,,136,32,22958,,spin_10158_M88HH,/uploads/rods/spin_10158_M88HH.png,https://potryasovgame.ru/page110667676.html
Ultima S-M87H,Спиннинговые,Ultima,Спиннинг,H,7,30,"2,6",9,9,Средний,,Искуств. +2-3,10%,,125,32,21802,,spin_10158_M87H,/uploads/rods/spin_10158_M87H.png,https://potryasovgame.ru/page110667676.html
Ultima S-M78L,Спиннинговые,Ultima,Спиннинг,L,2,12,"2,35",9,7,Средний,50%,Искуств. +2-3,10%,,38,32,20808,,spin_10158_M78L,/uploads/rods/spin_10158_M78L.png,https://potryasovgame.ru/page110667676.html
Ultima S-M75ML,Спиннинговые,Ultima,Спиннинг,ML,3,18,"2,25",9,8,Средний,25%,Искуств. +2-3,10%,,62,32,18808,,spin_10158_M75ML,/uploads/rods/spin_10158_M75ML.png,https://potryasovgame.ru/page110667676.html
Ultima S-M61L,Спиннинговые,Ultima,Спиннинг,L,2,8,"1,8",9,7,Средний,50%,Искуств. +2-3,10%,,36,32,18773,,spin_10158_M61L,/uploads/rods/spin_10158_M61L.png,https://potryasovgame.ru/page110667676.html
Ultima S-M68ML,Спиннинговые,Ultima,Спиннинг,ML,3,12,2,9,8,Средний,25%,Искуств. +2-3,10%,,60,32,17773,,spin_10158_M68ML,/uploads/rods/spin_10158_M68ML.png,https://potryasovgame.ru/page110667676.html
Ultima S-M60UL,Спиннинговые,Ultima,Спиннинг,UL,1,5,"1,8",10,7,Средний,100%,Искуств. +2-3,10%,,14,32,17773,,spin_10158_M60UL,/uploads/rods/spin_10158_M60UL.png,https://potryasovgame.ru/page110667676.html
Trout Master S-M82M,Спиннинговые,Trout,Спиннинг,M,5,20,"2,5",7,7,Средний,,Воблер +2,,10%,80,30,14442,,spin_10157_M82M,/uploads/rods/spin_10157_M82M.png,https://potryasovgame.ru/page110667676.html
Trout Master S-M71ML,Спиннинговые,Trout,Спиннинг,ML,3,18,"2,15",8,7,Средний,25%,Воблер +2,,10%,50,30,13937,,spin_10157_M71ML,/uploads/rods/spin_10157_M71ML.png,https://potryasovgame.ru/page110667676.html
Trout Master S-M68L,Спиннинговые,Trout,Спиннинг,L,2,10,2,8,7,Средний,50%,Воблер +2,,10%,25,30,13310,,spin_10157_M68L,/uploads/rods/spin_10157_M68L.png,https://potryasovgame.ru/page110667676.html
Aquilon S-M70UL,Спиннинговые,Aquilon,Спиннинг,UL,"0,5",5,"2,1",8,6,Средний,100%,Воблер +2,,10%,13,30,12805,,spin_10156_M70UL,/uploads/rods/spin_10156_M70UL.png,https://potryasovgame.ru/page110667676.html
Trout Master S-M60L,Спиннинговые,Trout,Спиннинг,L,1,8,"1,8",8,6,Средний,50%,Воблер +2,,10%,21,30,12560,,spin_10157_M60L,/uploads/rods/spin_10157_M60L.png,https://potryasovgame.ru/page110667676.html
Aquilon S-M71L,Спиннинговые,Aquilon,Спиннинг,L,1,7,"2,1",8,6,Средний,50%,Воблер +2,,10%,20,30,11563,,spin_10156_M71L,/uploads/rods/spin_10156_M71L.png,https://potryasovgame.ru/page110667676.html
Aquilon S-M68ULL,Спиннинговые,Aquilon,Спиннинг,UL,"0,5",4,2,8,6,Средний,100%,Воблер +2,,10%,12,30,11563,,spin_10156_M68ULL,/uploads/rods/spin_10156_M68ULL.png,https://potryasovgame.ru/page110667676.html
Vexillar S-F66L,Спиннинговые,Vexillar,Спиннинг,L,"1,75","8,75",2,9,7,Быстрый,50%,Джиговые +3,,,"17,1",28,9118,,spin_10155_F66L,/uploads/rods/spin_10155_F66L.png,https://potryasovgame.ru/page110667676.html
Vexillar S-F66MH,Спиннинговые,Vexillar,Спиннинг,MH,7,28,2,8,9,Быстрый,,Джиговые +3,,,40,28,9118,,spin_10155_F66MH,/uploads/rods/spin_10155_F66MH.png,https://potryasovgame.ru/page110667676.html
Vexillar S-F70UL,Спиннинговые,Vexillar,Спиннинг,UL,1,4,"2,1",9,7,Быстрый,100%,Джиговые +3,,,10,28,9118,,spin_10155_F70UL,/uploads/rods/spin_10155_F70UL.png,https://potryasovgame.ru/page110667676.html
Barracuda SPSL88MH,Спиннинговые,Barracuda,Спиннинг,MH,7,45,"2,7",1,2,Медленный,,,,,"96,6",26,8199,,spin_10065_SPSL88MH,/uploads/rods/spin_10065_SPSL88MH.png,https://potryasovgame.ru/page110667676.html
Barracuda SPM88H,Спиннинговые,Barracuda,Спиннинг,H,15,80,"2,7",1,3,Средний,,,,,95,26,7999,,spin_10065_SPM88H,/uploads/rods/spin_10065_SPM88H.png,https://potryasovgame.ru/page110667676.html
Black Edition SPF78XH,Спиннинговые,Black,Спиннинг,XH,14,42,"2,4",3,8,Быстрый,,Воблер +2,,,"51,3",28,7305,,spin_10068_SPF78XH,/uploads/rods/spin_10068_SPF78XH.png,https://potryasovgame.ru/page110667676.html
Black Edition SPM78MH,Спиннинговые,Black,Спиннинг,MH,7,28,"2,4",3,7,Средний,,,,15%,"50,8",28,7305,,spin_10068_SPM78MH,/uploads/rods/spin_10068_SPM78MH.png,https://potryasovgame.ru/page110667676.html
Black Edition SPXF68H,Спиннинговые,Black,Спиннинг,H,12,28,"2,1",3,8,Сверх,,Воблер +2,,,"43,7",28,6948,,spin_10068_SPXF68H,/uploads/rods/spin_10068_SPXF68H.png,https://potryasovgame.ru/page110667676.html
Black Edition SPXF68M,Спиннинговые,Black,Спиннинг,M,7,16,"2,1",3,7,Средний,,,7%,,"40,7",28,6948,,spin_10068_SPXF68M,/uploads/rods/spin_10068_SPXF68M.png,https://potryasovgame.ru/page110667676.html
Black Edition SPM68MH,Спиннинговые,Black,Спиннинг,MH,7,28,"2,1",3,7,Средний,,,7%,,"50,8",28,6948,,spin_10068_SPM68MH,/uploads/rods/spin_10068_SPM68MH.png,https://potryasovgame.ru/page110667676.html
Black Edition SPXF60H,Спиннинговые,Black,Спиннинг,H,12,28,"1,8",3,8,Сверх,,Воблер +2,,,"43,7",28,6646,,spin_10068_SPXF60H,/uploads/rods/spin_10068_SPXF60H.png,https://potryasovgame.ru/page110667676.html
Black Edition SPF60MH,Спиннинговые,Black,Спиннинг,MH,7,21,"1,8",3,7,Быстрый,,,7%,,45,28,6487,,spin_10068_SPF60MH,/uploads/rods/spin_10068_SPF60MH.png,https://potryasovgame.ru/page110667676.html
Black Edition SPM60ML,Спиннинговые,Black,Спиннинг,ML,3,12,"1,8",4,5,Средний,25%,,7%,,"30,3",28,6487,,spin_10068_SPM60ML,/uploads/rods/spin_10068_SPM60ML.png,https://potryasovgame.ru/page110667676.html
Barracuda SPM88M,Спиннинговые,Barracuda,Спиннинг,M,5,25,"2,7",1,3,Средний,,,,,"78,8",26,6398,,spin_10065_SPM88M,/uploads/rods/spin_10065_SPM88M.png,https://potryasovgame.ru/page110667676.html
